Year,Month,ProductName,Product_Code,Price,Lag_1,Lag_2,Predicted_Units,Recommended_Inventory,Risk
2026,1,AXIFER,0,1062.5,1,3.0,211.30574668041982,264.13218335052477,Overstock
2026,2,AXIFER,0,1062.5,1,3.0,317.3306196957791,396.6632746197239,Overstock
2026,3,AXIFER,0,1062.5,1,3.0,383.3872359328371,479.23404491604634,Overstock
2026,4,AXIFER,0,1062.5,1,3.0,-66.28901397727334,-82.86126747159167,Overstock
2026,1,Actiflor,1,1990711.305,3150,3098.0,3704.9175455375807,4631.146931921976,Overstock
2026,2,Actiflor,1,1990711.305,3150,3098.0,3493.9357408550654,4367.419676068832,Overstock
2026,3,Actiflor,1,1990711.305,3150,3098.0,3559.992357092124,4449.990446365156,Overstock
2026,4,Actiflor,1,1990711.305,3150,3098.0,3007.042449516934,3758.8030618961675,Overstock
2026,1,Actnise,2,4039627.61929994,12287,9247.0,11752.672973073726,14690.841216342158,Stock-out
2026,2,Actnise,2,4039627.61929994,12287,9247.0,11216.11156872588,14020.13946090735,Stable
2026,3,Actnise,2,4039627.61929994,12287,9247.0,11282.16818496294,14102.710231203675,Stock-out
2026,4,Actnise,2,4039627.61929994,12287,9247.0,10729.218277387747,13411.522846734682,Stable
2026,1,Ad Folic,3,12142220.1783025,31418,29141.0,30660.362704849395,38325.45338106174,Stable
2026,2,Ad Folic,3,12142220.1783025,31418,29141.0,29063.109558981418,36328.88694872677,Stable
2026,3,Ad Folic,3,12142220.1783025,31418,29141.0,29129.166175218474,36411.45771902309,Stable
2026,4,Ad Folic,3,12142220.1783025,31418,29141.0,28576.21626764329,35720.27033455411,Stable
2026,1,Ad Folic OD,4,23959308.8085009,45966,43085.0,47407.95682952093,59259.946036901165,Stable
2026,2,Ad Folic OD,4,23959308.8085009,45966,43085.0,45236.017052086085,56545.0213151076,Stable
2026,3,Ad Folic OD,4,23959308.8085009,45966,43085.0,45302.07366832314,56627.59208540392,Stable
2026,4,Ad Folic OD,4,23959308.8085009,45966,43085.0,43799.585277007536,54749.48159625942,Stable
2026,1,Ad-D Chewable,5,643489.817000002,2392,2306.0,1884.90913901928,2356.1364237741,Stable
2026,2,Ad-D Chewable,5,643489.817000002,2392,2306.0,1673.9273343367643,2092.4091679209555,Stable
2026,3,Ad-D Chewable,5,643489.817000002,2392,2306.0,1739.9839505738225,2174.9799382172782,Stable
2026,4,Ad-D Chewable,5,643489.817000002,2392,2306.0,1187.0340429986331,1483.7925537482915,Overstock
2026,1,Agoviz,6,4148578.78200004,5872,5412.0,6184.245038424653,7730.306298030817,Stable
2026,2,Agoviz,6,4148578.78200004,5872,5412.0,5973.263233742138,7466.579042177673,Stable
2026,3,Agoviz,6,4148578.78200004,5872,5412.0,6039.319849979196,7549.149812473996,Stable
